listing_id,room_type,property_type,neighbourhood_name,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,host_is_superhost,host_listing_count,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,cutoff_date,dataset_version
27886,Private room,Private room in houseboat,Centrum-West,2,1.0,1.0,1.5,132.0,3,356,False,True,1,311.0,311.0,302.16720257234726,1917.0,338.0,0,0.0,3.0,30.0,0,0.0,3.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
28871,Private room,Private room in rental unit,Centrum-West,2,1.0,1.0,1.0,89.0,2,730,False,True,2,732.0,729.0,201.2363387978142,1265.0,338.0,45,0.5,2.0,730.0,14,0.4666666666666667,2.0,730.0,30,21,0.7,0,2026-08-11,v1_audit_cleaned
29051,Private room,Private room in condo,Centrum-Oost,2,1.0,1.0,1.0,61.0,2,730,False,True,2,849.0,841.0,245.10836277974087,2253.0,337.0,42,0.4666666666666667,2.0,730.0,16,0.5333333333333333,2.0,730.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
44391,Entire home/apt,Entire rental unit,Centrum-Oost,4,2.0,,1.5,,3,730,False,False,1,42.0,42.0,242.3095238095238,891.0,1452.0,0,0.0,3.0,730.0,0,0.0,3.0,730.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
48373,Entire home/apt,Entire rental unit,Buitenveldert - Zuidas,4,2.0,,1.5,,3,1125,False,False,1,5.0,5.0,272.2,949.0,835.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
49552,Entire home/apt,Entire guest suite,Centrum-West,3,2.0,2.0,1.0,322.0,3,1125,False,True,1,609.0,605.0,352.82758620689657,1799.0,350.0,47,0.5222222222222223,3.0,1125.0,0,0.0,3.0,1125.0,30,26,0.8666666666666667,0,2026-08-11,v1_audit_cleaned
50263,Entire home/apt,Entire condo,Centrum-Oost,4,2.0,3.0,1.5,457.0,2,14,False,False,1,177.0,177.0,443.66101694915255,2467.0,344.0,90,1.0,2.0,1125.0,30,1.0,2.0,1125.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
50515,Entire home/apt,Entire townhouse,Bos en Lommer,5,3.0,3.0,1.5,198.0,7,18,False,False,1,20.0,20.0,303.1,533.0,353.0,90,1.0,7.0,18.0,30,1.0,7.0,18.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
50523,Entire home/apt,Entire condo,Centrum-West,2,1.0,1.0,1.0,162.0,2,365,False,True,1,563.0,560.0,263.39964476021316,1454.0,352.0,79,0.8777777777777778,2.0,365.0,22,0.7333333333333333,2.0,365.0,30,26,0.8666666666666667,0,2026-08-11,v1_audit_cleaned
53921,Entire home/apt,Entire rental unit,IJburg - Zeeburgereiland,3,1.0,,1.0,,1,21,False,False,1,12.0,12.0,262.0833333333333,886.0,808.0,0,0.0,1.0,21.0,0,0.0,1.0,21.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
55709,Entire home/apt,Entire loft,Centrum-Oost,2,1.0,,1.5,,11,30,False,False,1,69.0,68.0,502.17391304347825,1983.0,455.0,0,0.0,11.0,30.0,0,0.0,11.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
55868,Entire home/apt,Entire condo,Zuid,4,2.0,,1.5,,3,21,False,False,1,96.0,96.0,375.90625,1272.0,1100.0,0,0.0,3.0,21.0,0,0.0,3.0,21.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
62015,Entire home/apt,Entire rental unit,Oud-Oost,2,1.0,,1.5,,30,30,False,False,1,38.0,38.0,345.2631578947368,1307.0,863.0,0,0.0,30.0,30.0,0,0.0,30.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
80635,Private room,Private room in home,Centrum-West,1,1.0,,1.5,,3,1125,False,False,4,241.0,241.0,285.46058091286307,1476.0,1319.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
91535,Private room,Private room in boat,De Pijp - Rivierenbuurt,2,1.0,,1.0,,1,30,True,True,1,318.0,318.0,198.3238993710692,1486.0,338.0,0,0.0,1.0,1125.0,0,0.0,1.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
97221,Private room,Private room in bed and breakfast,Slotervaart,2,1.0,2.0,1.0,68.0,2,8,False,False,2,412.0,410.0,217.72815533980582,1556.0,368.0,90,1.0,2.0,8.0,30,1.0,2.0,8.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
137026,Entire home/apt,Entire townhouse,De Pijp - Rivierenbuurt,4,3.0,3.0,2.0,335.0,2,1125,False,True,1,117.0,116.0,331.4017094017094,1464.0,352.0,62,0.6888888888888889,2.0,1125.0,30,1.0,2.0,1125.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
